,location
605,[None]
606,[None]
607,[None]
608,"['Belém, Brasil']"
609,"['São Paulo, Brasil']"
610,[None]
611,"['Osasco, São Paulo']"
612,[None]
613,[None]
614,['Brazil']
615,[None]
616,[None]
617,[None]
618,['Estado Quebrado RS']
619,['04/04💍👩\u200d❤️\u200d💋\u200d👨']
620,[None]
621,[None]
622,[None]
623,"['Teresópolis, Brasil']"
624,"['Brasil, Rio de Janeiro']"
625,['São Paulo SP']
626,['Brasil']
627,[None]
628,[None]
629,['Metânia']
630,[None]
631,"['Coração do Ceará, Brasil']"
632,[None]
633,['Amp City']
634,[None]
635,['Salvador / Brasil']
636,"['Osasco, São Paulo']"
637,[None]
638,['Ilha da Magia']
639,['Europe']
640,[None]
641,"['Rio de Janeiro, Brasil']"
642,[None]
643,['Brazil']
644,"['Rio de Janeiro, Brasil']"
645,[None]
646,"['Fortaleza, Brasil']"
647,['SP']
648,"['Brasília-DF, Brasil']"
649,"['Aracaju, Brasil']"
650,"['Praia Grande, Brasil']"
651,['Brasil']
652,[None]
653,[None]
654,[None]
655,['Fortaleza-CE']
656,[None]
657,['Brazil']
658,"['Serra, espirito santo.']"
659,[None]
660,[None]
661,"['Goiânia, Brasil']"
662,['Esmeraldas - MG']
663,"['Ipatinga, Brasil']"
664,[None]
665,['porto alegre']
666,['BRAZIL']
667,[None]
668,"['Maranhão, Brasil']"
669,"['Paranaguá, Brasil']"
670,[None]
671,['Rio de Janeiro - Brasil']
672,"['Rio de Janeiro, Brasil']"
673,"['Belo Horizonte, Brasil']"
674,"['São Paulo, Brasil']"
675,['Minas Gerais']
676,"['Rio de Janeiro, Brasil']"
677,[None]
678,[None]
679,"['Vitória, Brazil']"
680,"['Belo Horizonte, Brasil']"
681,"['Rio de Janeiro, Brasil']"
682,[None]
683,[None]
684,['Rio De Janeiro']
685,[None]
686,"['Amazonas, Brasil']"
687,[None]
688,[None]
689,['Nem eu sei']
690,['🏳️\u200d🌈🏳️\u200d🌈']
691,[None]
692,['Goiânia/Anapolis Goias']
693,['London/ Jaguarão']
694,"['Osasco, Brasil']"
695,[None]
696,"['Porto Alegre, Brasil']"
697,['🚩🚩🚩🚩🚩🚩']
698,[None]
699,[None]
700,"['Bogotá, D.C., Colombia']"
701,"['Patos, Brasil']"
702,['São Paulo ']
703,[None]
704,[None]
705,[None]
706,[None]
707,"['Porto Alegre, Brasil']"
708,[None]
709,[None]
710,"['Fortaleza, Brasil']"
711,['Salvador /Bahia/Brasil']
712,"['Camaçari, Brasil']"
713,[None]
714,['Primavera do leste MT']
715,[None]
716,"['Olinda, Brasil']"
717,['Brasil/ Gov. Valadares']
718,"['Fortaleza, Brasil']"
719,"['Brasília, Brasil']"
720,"['Natal, Brasil']"
721,[None]
722,"['São Paulo, Brasil']"
723,[None]
724,['Goiânia-GO']
725,['Brasil']
726,"['São Paulo, Brasil']"
727,"['Olinda, Brasil']"
728,[None]
729,[None]
730,[None]
731,[None]
732,['Icaraí- Niterói- RJ']
733,[None]
734,[None]
735,"['Manaus, Brasil']"
736,[None]
737,[None]
738,['San Junipero']
739,[None]
740,['Japão']
741,[None]
742,['Paranagua']
743,"['São Paulo, Brasil']"
744,[None]
745,['Morro Do Vento MG ']
746,[None]
747,[None]
748,[None]
749,['Lagoa to Tocantins.']
750,['Brazil']
751,[None]
752,[None]
753,"['Minas Gerais, Brasil']"
754,['Teófilo Otoni - MG - Brasil']
755,"['Goiânia, Brasil']"
756,[None]
757,"['Aracruz, Brasil']"
758,[None]
759,[None]
760,[None]
761,['Cameroon']
762,['honeymoon avenue']
763,['United States/ Sao Paulo']
764,['Brasil']
765,"['Imperatriz, Brasil']"
766,[None]
767,[None]
768,['Valhalla']
769,[None]
770,"['Franca, Brasil']"
771,"['São Paulo, Brasil']"
772,[None]
773,['RIO DE JANEIRO']
774,[None]
775,"['Rio Claro, Brasil']"
776,[None]
777,['Paraná - Sony vegas 17']
778,[None]
779,"['Rio de Janeiro, Brasil']"
780,['E.S']
781,[None]
782,[None]
783,[None]
784,['Nordeste']
785,"['São Paulo, Brasil']"
786,[None]
787,"['Ponte Nova, Brasil']"
788,['Brasil']
789,[None]
790,['Itapetinga-Bahia']
791,[None]
792,[None]
793,[None]
794,"['Rio de Janeiro, Brasil']"
795,['Pernambuco']
796,['Indaiatuba']
797,"['Belo Horizonte, Brasil']"
798,['Brasil']
799,[None]
800,['Brasil']
801,['037']
802,[None]
803,[None]
804,[None]
805,['日本 東京']
806,[None]
807,['campo grande - RJ 🏖']
808,['Rio de Janeiro']
809,"['Camaragibe, Brasil']"
810,[None]
811,[None]
812,['Brasil']
813,"['Nova Iguaçu, Brasil']"
814,[None]
815,[None]
816,['Brasil']
817,"['Uberlândia, Brasil']"
818,[None]
819,[None]
820,['São Paulo']
821,['Brasil']
822,[None]
823,[None]
824,[None]
825,[None]
826,"['São Paulo, Brasil']"
827,[None]
828,[None]
829,[None]
830,['ES/BR']
831,"['São Paulo, SP']"
832,[None]
833,"['Interlagos, Z/S, São Paulo.']"
834,[None]
835,['台灣']
836,"['Pelotas, Rio Grande do Sul']"
837,[None]
838,"['Rio de Janeiro, RJ, Brasil']"
839,"['Distrito Federal, Brasil']"
840,[None]
841,[None]
842,[None]
843,['Brasil']
844,"['Santiago, Chile']"
845,"['Distrito Capital, Venezuela']"
846,"['iphone:-3.744679,-38.538222']"
847,"['Perdizes, São Paulo']"
848,[None]
849,[None]
850,[None]
851,[None]
852,['Niterói']
853,[None]
854,[None]
855,[None]
856,[None]
857,['Na província mais antiga do RS']
858,['terra brasilis']
859,[None]
860,['Brasil']
861,[None]
862,[None]
863,[None]
864,"['São Paulo, Brasil']"
865,[None]
866,['Rio de Janeiro']
867,[None]
868,"['Paty do Alferes, Brasil']"
869,"['Goiânia, Brasil']"
870,[None]
871,[None]
872,[None]
873,[None]
874,[None]
875,"['Puerto Ordaz,Venezuela']"
876,"['São Paulo, Brasil']"
877,[None]
878,[None]
879,[None]
880,[None]
881,[None]
882,[None]
883,['Pelo mundo']
884,[None]
885,"['São Paulo, Brasil']"
886,"['São Paulo, Brasil']"
887,"['Orlando, FL']"
888,['Rio de Janeiro/ Mundo. ']
889,[None]
890,[None]
891,"['Belo Horizonte, Brasil']"
892,[None]
893,['Recreio dos Bandeirantes']
894,[None]
895,"['Betim, Minas Gerais, Brasil']"
896,"['Brasília, Brasil']"
897,['Telemaco Borba (Brazil)']
898,"['Teresina, Brazil']"
899,['Araruama - RJ']
900,['Rio de Janeiro']
901,"['Rio Grande do Sul, Brazil']"
902,[None]
903,[None]
904,['porto alegre']
905,[None]
906,[None]
907,['Rio de Janeiro']
908,[None]
909,[None]
910,"['São Paulo, Brasil']"
911,[None]
912,['São Paulo / NY / London']
913,"['Centro, Vila Velha']"
914,"['Rio de Janeiro, Brasil']"
915,['ela/dela']
916,"['Cascavel, Brasil']"
917,"['Belo Horizonte, Brasil']"
918,['Brasil']
919,"['Teresina, Brasil']"
920,['Icaraí- Niterói- RJ']
921,"['Viamão, Brasil']"
922,[None]
923,"['Rio de Janeiro, Brasil']"
924,['São Paulo - Brasil']
925,[None]
926,['Pelotas']
927,[None]
928,[None]
929,[None]
930,[None]
931,[None]
932,['Pelo mundo']
933,"['Minas Gerais, Brasil']"
934,[None]
935,"['Cascavel, Brasil']"
936,[None]
937,"['Bragança Paulista, Brasil']"
938,[None]
939,[None]
940,[None]
941,"['MG, Brasil']"
942,"['Tatuí, Brasil']"
943,"['São Paulo, Brasil']"
944,['São Pulo ']
945,[None]
946,"['Orlando, FL']"
947,['Natal-RN']
948,[None]
949,"['Florianópolis, Brasil']"
950,[None]
951,['Caracas']
952,"['Balneário Camboriú, Brasil']"
953,[None]
954,['Brasil']
955,['Brasil']
956,[None]
957,['Brasil']
958,['Sem domicílio fixo']
959,[None]
960,"['Florianópolis, Brasil']"
961,[None]
962,[None]
963,[None]
964,"['Rio de Janeiro, Brasil']"
965,"['Apucarana, Brasil']"
966,[None]
967,[None]
968,[None]
969,['Brasil']
970,['BRASIL']
971,"['Brasília, Brasil']"
972,[None]
973,[None]
974,[None]
975,[None]
976,['Campos do Jordão - SP']
977,[None]
978,"['Itapemirim, Brasil']"
979,[None]
980,[None]
981,[None]
982,[None]
983,['Manaus-AM']
984,[None]
985,"['São Paulo, Brazil']"
