,tweets
122,"['RT @RaquelStasiaki: Tem um circo na Globonews, os jornalistas são os trapezistas, tem também os palhaços entrevistados: Ciro Gomes acusando…']"
123,"[""RT @AleGZahra38: 👉Para aqueles que gostam de pensar no Futuro, que dizem,\n' Vou sair às ruas se mexerem com Bolsonaro' ,\n👉Digo o seguinte,…""]"
124,"['RT @maristrassburge: Bolsonaristas, deixem aqui um comentário sobre algo de bom que Bolsonaro fez e que afetou DIRETAMENTE a sua vida, não…']"
125,"['RT @conexaopolitica: Bolsonaro lidera corrida para eleições de 2022 em todos os cenários, diz pesquisa https://t.co/54c3EZuBDR']"
126,"['RT @chilita240512: #FlexibilizacionConDisciplina Encontronazo del Tribunal Federal de Brasil y Bolsonaro por la medida, tomada por éste, de…']"
127,['RT @Garimbest: Eu não quero o impeachment do Bolsonaro!\n\nEu quero isso: https://t.co/wEd8mXuQaX']
128,['Quem imaginou que Dilma seria impeachmada? E que lula seria preso? E que Bolsonaro seria eleito? E Sergio Moro seri… https://t.co/xiCIrPi64W']
129,['RT @PATRlOTAS: Adolf Witzel dizendo que se arrependeu de ter apoiado Bolsonaro é a piada do dia. O sujeito se elegeu pendurado nas bolas do…']
130,['RT @RenzoMora: Bolsonaro ganha mais 5 dias para mostrar o seu exame de COVID-19. Vai que em 5 dias muda o resultado de um exame feito há 2…']
131,['RT @claudio_ladeira: Moro ficará preso preventivamente até aceitar uma delação premiada? Ou a presunção de inocência voltou a valer como di…']
132,"['@criticanac @BolsonaroSP Não conheço um eleitor do Bolsonaro que esteja arrependido, pelo contrário, já iniciamos a… https://t.co/icUqeLGufW']"
133,"['@CarlosBolsonaro Não sou Lula, não sou Bolsonaro ou qualquer outro político. SOU BRASIL!!!!!!!']"
134,['RT @lilomamadeira: Bolsonaro vs Moro kkk\n#InMoroWeTrust https://t.co/paCzrHYGLU']
135,"['Após acusações de Moro, partidos da oposição planejam uma frente ampla anti-Bolsonaro - O Globo https://t.co/Cqai4srDPn']"
136,"['RT @bibonunes1: Esse Amoedo, candidato do Novo a Presidente, para ser chamado de ruim tem que melhorar bastante!\nTem bom senso zero e recal…']"
137,"['RT @blogdopannunzio: Sim, existe alguém com a índole tão perversa quanto a dos Bolsonaro. Sim, existe alguém tão mentiroso quanto os Bolson…']"
138,"['RT @MundoEConflicto: AHORA: El ex ministro de Justicia Sérgio Moro declaró durante más de seis horas en Curitiba, Brasil y entregó 15 meses…']"
139,"['Líder do MBL, deputado Kim Kataguiri protocola pedido de impeachment de Bolsonaro - Estado de Minas https://t.co/Gvq7VKGJR0']"
140,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
141,['@_ALEXANDER_BR In BOLSONARO we trust. In Moro we dont give a fuck.']
142,"['@SimoneReis @frulanis @manugavassi MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
143,['@liloown @NatalieFelixx @buffalobr @isabelalyrioo @Felipe_RzBz @carolmoreira3 Votei no Bolsonaro e sempre soube que… https://t.co/7PAvEkXtk1']
144,"['RT @blogdopannunzio: Quando era pra cabalar votos, Bolsonaro et caterva mostraram as tripas, a cueca, a bolsa de colostomia. Agora no gover…']"
